Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Sophomore,Backyard Birdles,Beautiful Storage,Music Camp,Introduction to Podcasting,Web Design and Development,Songwriters' Seminar,Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways,Doughnuts around the world,Shark Tank
Freshman,Beautiful Morning Hikes,Play Like a Kid,Lifeguarding - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Introduction to Dog Training,Women in Sports,Beads and Baubles: The Art of Jewelry Making
Junior,Amazing Race - Full Day Course,Ultimate Frisbee,College Tours - Full Day Course,Civil Rights Tour of Greater Boston - Full Day Course,Physics and Contemporary Issues,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Board Games,Teamwork and Collaboration in Video Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Lifeguarding - Full Day Course,Songwriters' Seminar,Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,History Book Club: Women and the 1930s
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Jane Austen Book Club,Knitting and Crochet: The Basics,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games,"Quilting as Art, Quilting as Craft",Introduction to Dog Training
Junior,College Tours - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Storage,"Geography, Exploration, and Technology",History Book Club: Women and the 1930s,Doughnuts around the world,NASA in the Movies,The Show Must Go On,Intro to Italian
Sophomore,College Tours - Full Day Course,Fishing at the pond,Disc Golf,Ultimate Frisbee,Harry Potter: The Wizarding World of June Academy,Doughnuts around the world,Shark Tank,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Lifeguarding - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Civil Rights Tour of Greater Boston - Full Day Course,College Tours - Full Day Course,Introduction to Dog Training,Running Club,Mending and Hiking,Shark Tank,"Grilling, Games, & Grins"
Freshman,Jane Austen Book Club,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Disc Golf,Myths and Mirth,Fishing at the pond,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,"Quilting as Art, Quilting as Craft","Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Knitting and Crochet: The Basics,Wilderness Survival,Play Like a Kid,The Poetry of Taylor Swift,Amazing Race - Full Day Course,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Globalization of East Asian Foodways,Intro to Italian
Sophomore,Music Camp,The Poetry of Taylor Swift,Ultimate Frisbee,Beautiful Morning Hikes,Disc Golf,Songwriters' Seminar,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,Shark Tank
Junior,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Storage,Knitting and Crochet: The Basics,Harry Potter: The Wizarding World of June Academy,Ultimate Frisbee,Doughnuts around the world,Globalization of East Asian Foodways,Teamwork and Collaboration in Video Games,"Words, words, words... Word Puzzles and Games",Women in Sports
Junior,Knitting and Crochet: The Basics,Backyard Birdles,Beautiful Storage,Farming to Benefit the Community,Fishing at the pond,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Teamwork and Collaboration in Video Games,"Quilting as Art, Quilting as Craft"
Freshman,Amazing Race - Full Day Course,Fishing at the pond,Ultimate Frisbee,Disc Golf,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Junior,Knitting and Crochet: The Basics,Backyard Birdles,Beautiful Storage,Farming to Benefit the Community,Myths and Mirth,Doughnuts around the world,Globalization of East Asian Foodways,Teamwork and Collaboration in Video Games,Floral Design with Foraging,Mending and Hiking
Junior,The Poetry of Taylor Swift,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Harry Potter: The Wizarding World of June Academy,Play Like a Kid,Doughnuts around the world,Introduction to Dog Training,Beads and Baubles: The Art of Jewelry Making,"Words, words, words... Word Puzzles and Games",History Book Club: Women and the 1930s
Sophomore,Fishing at the pond,Backyard Birdles,Ultimate Frisbee,Disc Golf,Wilderness Survival,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,Board Games,Doughnuts around the world
Sophomore,Fishing at the pond,Beautiful Morning Hikes,History of American Professional Football,Introduction to Podcasting,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Introduction to Dog Training,Mending and Hiking
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,College Tours - Full Day Course,Harry Potter: The Wizarding World of June Academy,Globalization of East Asian Foodways,Doughnuts around the world,Mending and Hiking,Floral Design with Foraging,The Joy of Learning and Knowing Trivial Things
Sophomore,Fishing at the pond,Backyard Birdles,Ultimate Frisbee,Disc Golf,Wilderness Survival,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,Board Games,Doughnuts around the world
Sophomore,Play Like a Kid,Wilderness Survival,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Amazing Race - Full Day Course,Fishing at the pond,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Beads and Baubles: The Art of Jewelry Making
Junior,Ultimate Frisbee,Knitting and Crochet: The Basics,Ultimate Frisbee,College Tours - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Knitting and Crochet: The Basics,Play Like a Kid,Beautiful Storage,Jane Austen Book Club,Beautiful Morning Hikes,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Mending and Hiking,"Quilting as Art, Quilting as Craft",The Show Must Go On
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Disc Golf,The Poetry of Taylor Swift,Web Design and Development,Intro to Italian,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Shark Tank,Floral Design with Foraging
Freshman,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Disc Golf,The Poetry of Taylor Swift,Web Design and Development,Intro to Italian,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Shark Tank,Floral Design with Foraging
Freshman,Amazing Race - Full Day Course,Fishing at the pond,Ultimate Frisbee,Disc Golf,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Freshman,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Play Like a Kid,Wilderness Survival,Ultimate Frisbee,Doughnuts around the world,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Disc Golf,Ultimate Frisbee,Web Design and Development,Beautiful Morning Hikes,Wilderness Survival,Doughnuts around the world,NASA in the Movies,Board Games,Floral Design with Foraging,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,"Pave the Way to Understanding: African-American History Sites, Trails, and Walks - Full Day Course",Wilderness Survival,Mending and Hiking,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Introduction to Dog Training,"Words, words, words... Word Puzzles and Games"
Freshman,Fishing at the pond,Ultimate Frisbee,Web Design and Development,Disc Golf,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts",Introduction to Dog Training
Freshman,Fishing at the pond,College Tours - Full Day Course,Web Design and Development,Beautiful Morning Hikes,Jane Austen Book Club,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts",NASA in the Movies,Intro to Italian,Globalization of East Asian Foodways
Junior,Ultimate Frisbee,Beautiful Morning Hikes,Amazing Race - Full Day Course,Fishing at the pond,Play Like a Kid,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Sophomore,Amazing Race - Full Day Course,Ultimate Frisbee,Play Like a Kid,Introduction to Podcasting,Harry Potter: The Wizarding World of June Academy,Board Games,Teamwork and Collaboration in Video Games,"Words, words, words... Word Puzzles and Games",The Joy of Learning and Knowing Trivial Things,Introduction to Dog Training
Sophomore,Lifeguarding - Full Day Course,Amazing Race - Full Day Course,College Tours - Full Day Course,Web Design and Development,Science in Action: Real World Experiences - Full Day Course,Introduction to Dog Training,Intro to Italian,Board Games,Shark Tank,The Joy of Learning and Knowing Trivial Things
Freshman,Fishing at the pond,Lifeguarding - Full Day Course,Disc Golf,Play Like a Kid,Ultimate Frisbee,"Grilling, Games, & Grins",Running Club,Shark Tank,Doughnuts around the world,Board Games
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,Knitting and Crochet: The Basics,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Floral Design with Foraging,Introduction to Dog Training
Junior,Knitting and Crochet: The Basics,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Myths and Mirth,Beautiful Morning Hikes,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world,Floral Design with Foraging,"Quilting as Art, Quilting as Craft",Creating Outside the Box
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Freshman,Fishing at the pond,History of American Professional Football,Ultimate Frisbee,Wilderness Survival,Fishing at the pond,Doughnuts around the world,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",NASA in the Movies,Shark Tank
Junior,Play Like a Kid,"Geography, Exploration, and Technology",Physics and Contemporary Issues,Knitting and Crochet: The Basics,The Poetry of Taylor Swift,"Words, words, words... Word Puzzles and Games",Board Games,Mending and Hiking,Women in Sports,The Joy of Learning and Knowing Trivial Things
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Storage,History of American Professional Football,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Beautiful Storage,History of American Professional Football,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Shark Tank,Beads and Baubles: The Art of Jewelry Making,Doughnuts around the world
Sophomore,Fishing at the pond,History of American Professional Football,Ultimate Frisbee,Disc Golf,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,NASA in the Movies,The Show Must Go On
Junior,Ultimate Frisbee,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Wilderness Survival,Backyard Birdles,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,Board Games,Globalization of East Asian Foodways
Junior,History of American Professional Football,"Geography, Exploration, and Technology",Web Design and Development,Fishing at the pond,"Geography, Exploration, and Technology",Teamwork and Collaboration in Video Games,Board Games,"Words, words, words... Word Puzzles and Games",Introduction to Dog Training,Intro to Italian
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Fishing at the pond,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,Mending and Hiking
Sophomore,Myths and Mirth,Beautiful Storage,Introduction to Podcasting,Physics and Contemporary Issues,Play Like a Kid,Board Games,Teamwork and Collaboration in Video Games,Creating Outside the Box,NASA in the Movies,The Show Must Go On
Sophomore,Beautiful Morning Hikes,The Poetry of Taylor Swift,Backyard Birdles,Farming to Benefit the Community,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Women in Sports,Songwriters' Seminar,Globalization of East Asian Foodways,Shark Tank,The Joy of Learning and Knowing Trivial Things
Junior,Science in Action: Real World Experiences - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Farming to Benefit the Community,Beautiful Morning Hikes,Doughnuts around the world,Mending and Hiking,Beads and Baubles: The Art of Jewelry Making,"Quilting as Art, Quilting as Craft",Introduction to Dog Training
Freshman,Lifeguarding - Full Day Course,Beautiful Morning Hikes,Beautiful Storage,Play Like a Kid,Fishing at the pond,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Introduction to Dog Training,"Grilling, Games, & Grins"
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Harry Potter: The Wizarding World of June Academy,Play Like a Kid,Beautiful Morning Hikes,Beads and Baubles: The Art of Jewelry Making,Teamwork and Collaboration in Video Games,Board Games,"Quilting as Art, Quilting as Craft","Grilling, Games, & Grins"
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Fishing at the pond,Disc Golf,College Tours - Full Day Course,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,NASA in the Movies,Doughnuts around the world,Shark Tank
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Backyard Birdles,Beautiful Morning Hikes,Introduction to Podcasting,Doughnuts around the world,Creating Outside the Box,Board Games,"Grilling, Games, & Grins","Words, words, words... Word Puzzles and Games"
Sophomore,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Fishing at the pond,Music Camp,Globalization of East Asian Foodways,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Doughnuts around the world,Teamwork and Collaboration in Video Games
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Fishing at the pond,Ultimate Frisbee,Wilderness Survival,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,NASA in the Movies,Doughnuts around the world,Shark Tank
Sophomore,Knitting and Crochet: The Basics,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Beautiful Storage,Doughnuts around the world,Creating Outside the Box,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,"Quilting as Art, Quilting as Craft"
Junior,Amazing Race - Full Day Course,Wilderness Survival,Disc Golf,Fishing at the pond,Ultimate Frisbee,"Grilling, Games, & Grins",Board Games,Teamwork and Collaboration in Video Games,Songwriters' Seminar,Globalization of East Asian Foodways
Junior,History of American Professional Football,Amazing Race - Full Day Course,Fishing at the pond,Play Like a Kid,Ultimate Frisbee,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games,Intro to Italian
Freshman,Amazing Race - Full Day Course,Fishing at the pond,Ultimate Frisbee,Disc Golf,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Sophomore,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Amazing Race - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Beads and Baubles: The Art of Jewelry Making
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Knitting and Crochet: The Basics,Doughnuts around the world,"Quilting as Art, Quilting as Craft","Grilling, Games, & Grins",Introduction to Dog Training,Board Games
Sophomore,College Tours - Full Day Course,Wilderness Survival,Beautiful Morning Hikes,Civil Rights Tour of Greater Boston - Full Day Course,Farming to Benefit the Community,Mending and Hiking,"Grilling, Games, & Grins",Shark Tank,Doughnuts around the world,Running Club
Freshman,Lifeguarding - Full Day Course,Ultimate Frisbee,Disc Golf,Play Like a Kid,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Intro to Italian,"Fly Fishing for Life - all are welcome, from beginners to experts",Board Games
Junior,Science in Action: Real World Experiences - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Ultimate Frisbee,Physics and Contemporary Issues,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Mending and Hiking,NASA in the Movies,Running Club
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Lifeguarding - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,Running Club,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Mending and Hiking
Junior,Lifeguarding - Full Day Course,Amazing Race - Full Day Course,Backyard Birdles,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,The Show Must Go On,Doughnuts around the world,Mending and Hiking,"Words, words, words... Word Puzzles and Games","Grilling, Games, & Grins"
Freshman,Ultimate Frisbee,Amazing Race - Full Day Course,Disc Golf,Wilderness Survival,The Poetry of Taylor Swift,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Shark Tank
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Play Like a Kid,The Poetry of Taylor Swift,"Words, words, words... Word Puzzles and Games",Board Games,Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Doughnuts around the world
Junior,Science in Action: Real World Experiences - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Fishing at the pond,Beautiful Storage,Introduction to Podcasting,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,"Grilling, Games, & Grins",Songwriters' Seminar
Freshman,Amazing Race - Full Day Course,Science in Action: Real World Experiences - Full Day Course,Knitting and Crochet: The Basics,College Tours - Full Day Course,Web Design and Development,The Show Must Go On,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Quilting as Art, Quilting as Craft","Words, words, words... Word Puzzles and Games"
Freshman,Fishing at the pond,Disc Golf,The Poetry of Taylor Swift,Lifeguarding - Full Day Course,Play Like a Kid,Doughnuts around the world,Shark Tank,Women in Sports,"Grilling, Games, & Grins",Mending and Hiking
Junior,Knitting and Crochet: The Basics,Harry Potter: The Wizarding World of June Academy,Web Design and Development,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Globalization of East Asian Foodways,Doughnuts around the world,Teamwork and Collaboration in Video Games,Board Games,NASA in the Movies
Freshman,Amazing Race - Full Day Course,Fishing at the pond,Ultimate Frisbee,Disc Golf,History of American Professional Football,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Sophomore,College Tours - Full Day Course,Harry Potter: The Wizarding World of June Academy,Jane Austen Book Club,The Poetry of Taylor Swift,Myths and Mirth,Doughnuts around the world,"Grilling, Games, & Grins",Intro to Italian,History Book Club: Women and the 1930s,Introduction to Dog Training
Freshman,Ultimate Frisbee,Amazing Race - Full Day Course,Disc Golf,Wilderness Survival,The Poetry of Taylor Swift,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,Board Games,Shark Tank
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,The Poetry of Taylor Swift,Jane Austen Book Club,Globalization of East Asian Foodways,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Intro to Italian,Creating Outside the Box
Freshman,Beautiful Morning Hikes,Fishing at the pond,Disc Golf,Ultimate Frisbee,Wilderness Survival,Board Games,Intro to Italian,"Grilling, Games, & Grins","Words, words, words... Word Puzzles and Games",Shark Tank
Junior,Music Camp,Beautiful Morning Hikes,Knitting and Crochet: The Basics,College Tours - Full Day Course,Amazing Race - Full Day Course,History Book Club: Women and the 1930s,Songwriters' Seminar,"Words, words, words... Word Puzzles and Games",Board Games,The Joy of Learning and Knowing Trivial Things
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Grilling, Games, & Grins",Introduction to Dog Training,Shark Tank
Freshman,Disc Golf,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,History of American Professional Football,Amazing Race - Full Day Course,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Globalization of East Asian Foodways,Teamwork and Collaboration in Video Games
Sophomore,Web Design and Development,Beautiful Morning Hikes,Fishing at the pond,College Tours - Full Day Course,Wilderness Survival,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Teamwork and Collaboration in Video Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Harry Potter: The Wizarding World of June Academy,The Poetry of Taylor Swift,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Globalization of East Asian Foodways,Intro to Italian,Women in Sports
Freshman,The Poetry of Taylor Swift,Wilderness Survival,Knitting and Crochet: The Basics,Jane Austen Book Club,Beautiful Morning Hikes,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,History Book Club: Women and the 1930s,Doughnuts around the world,Board Games
Junior,Amazing Race - Full Day Course,Play Like a Kid,Knitting and Crochet: The Basics,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Backyard Birdles,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,"Quilting as Art, Quilting as Craft",Mending and Hiking
Freshman,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Knitting and Crochet: The Basics,Wilderness Survival,Doughnuts around the world,Floral Design with Foraging,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Introduction to Dog Training
Sophomore,Lifeguarding - Full Day Course,College Tours - Full Day Course,Fishing at the pond,Ultimate Frisbee,Amazing Race - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Running Club
Junior,Amazing Race - Full Day Course,Myths and Mirth,Music Camp,Harry Potter: The Wizarding World of June Academy,College Tours - Full Day Course,Songwriters' Seminar,Board Games,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,"Words, words, words... Word Puzzles and Games"
Freshman,Backyard Birdles,Fishing at the pond,Ultimate Frisbee,Myths and Mirth,Disc Golf,Board Games,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",The Joy of Learning and Knowing Trivial Things
Freshman,Amazing Race - Full Day Course,Disc Golf,Lifeguarding - Full Day Course,Ultimate Frisbee,Physics and Contemporary Issues,Shark Tank,"Grilling, Games, & Grins",Doughnuts around the world,NASA in the Movies,Teamwork and Collaboration in Video Games
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Beautiful Morning Hikes,The Poetry of Taylor Swift,Doughnuts around the world,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Beads and Baubles: The Art of Jewelry Making,Shark Tank
Freshman,Lifeguarding - Full Day Course,College Tours - Full Day Course,History of American Professional Football,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Globalization of East Asian Foodways,"Words, words, words... Word Puzzles and Games"
Freshman,Wilderness Survival,Beautiful Morning Hikes,Knitting and Crochet: The Basics,Disc Golf,Web Design and Development,Doughnuts around the world,The Joy of Learning and Knowing Trivial Things,Board Games,Beads and Baubles: The Art of Jewelry Making,"Quilting as Art, Quilting as Craft"
Freshman,Amazing Race - Full Day Course,Disc Golf,Ultimate Frisbee,Physics and Contemporary Issues,Music Camp,Shark Tank,Doughnuts around the world,"Grilling, Games, & Grins",Board Games,NASA in the Movies
Sophomore,College Tours - Full Day Course,Fishing at the pond,Beautiful Morning Hikes,Amazing Race - Full Day Course,Web Design and Development,"Grilling, Games, & Grins",Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games,Globalization of East Asian Foodways
Sophomore,Ultimate Frisbee,Wilderness Survival,Fishing at the pond,Play Like a Kid,Disc Golf,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Board Games,NASA in the Movies,Shark Tank
Freshman,Amazing Race - Full Day Course,Disc Golf,Ultimate Frisbee,"Geography, Exploration, and Technology",Physics and Contemporary Issues,Shark Tank,"Grilling, Games, & Grins",Doughnuts around the world,NASA in the Movies,Teamwork and Collaboration in Video Games
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Storage,Play Like a Kid,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Globalization of East Asian Foodways,Floral Design with Foraging,"Quilting as Art, Quilting as Craft"
Junior,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Play Like a Kid,Fishing at the pond,The Poetry of Taylor Swift,Wilderness Survival,Doughnuts around the world,"Grilling, Games, & Grins",Shark Tank,Shark Tank,Creating Outside the Box
Junior,Amazing Race - Full Day Course,Ultimate Frisbee,Beautiful Morning Hikes,Wilderness Survival,Backyard Birdles,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts",NASA in the Movies
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Knitting and Crochet: The Basics,Beautiful Morning Hikes,Backyard Birdles,Doughnuts around the world,Globalization of East Asian Foodways,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Board Games
Sophomore,Amazing Race - Full Day Course,Ultimate Frisbee,Wilderness Survival,Disc Golf,Play Like a Kid,"Grilling, Games, & Grins",Doughnuts around the world,Running Club,"Fly Fishing for Life - all are welcome, from beginners to experts",The Joy of Learning and Knowing Trivial Things
