Grade in school this year,AM Course - 1st Choice. (Drop down option),AM Course - 2nd Choice. (Drop down option),AM Course - 3rd Choice. (Drop down option),AM Course - 4th Choice. (Drop down option),AM Course - 5th Choice. (Drop down option),PM Course - 1st Choice. (Drop down option),PM Course - 2nd Choice. (Drop down option),PM Course - 3rd Choice. (Drop down option),PM Course - 4th Choice. (Drop down option),PM Course - 5th Choice. (Drop down option)
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,History of American Professional Football,Jane Austen Book Club,Wilderness Survival,Doughnuts around the world,History Book Club: Women and the 1930s,Women in Sports,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making
Sophomore,College Tours - Full Day Course,Amazing Race - Full Day Course,History of American Professional Football,Jane Austen Book Club,Wilderness Survival,Doughnuts around the world,History Book Club: Women and the 1930s,Women in Sports,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making
Sophomore,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Amazing Race - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Beads and Baubles: The Art of Jewelry Making
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Wilderness Survival,Ultimate Frisbee,"Grilling, Games, & Grins",Board Games,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Teamwork and Collaboration in Video Games
Sophomore,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Amazing Race - Full Day Course,College Tours - Full Day Course,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Beads and Baubles: The Art of Jewelry Making
Sophomore,Lifeguarding - Full Day Course,Amazing Race - Full Day Course,Jane Austen Book Club,Wilderness Survival,Beautiful Morning Hikes,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,"Words, words, words... Word Puzzles and Games",Board Games,Creating Outside the Box
Sophomore,Ultimate Frisbee,Disc Golf,History of American Professional Football,Wilderness Survival,College Tours - Full Day Course,Teamwork and Collaboration in Video Games,Women in Sports,"Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,The Joy of Learning and Knowing Trivial Things
Junior,Amazing Race - Full Day Course,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Backyard Birdles,Doughnuts around the world,"Grilling, Games, & Grins","Quilting as Art, Quilting as Craft","Words, words, words... Word Puzzles and Games",Globalization of East Asian Foodways
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Wilderness Survival,Beautiful Morning Hikes,"Grilling, Games, & Grins",Board Games,Shark Tank,Doughnuts around the world,"Fly Fishing for Life - all are welcome, from beginners to experts"
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Wilderness Survival,The Poetry of Taylor Swift,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins",Board Games,Floral Design with Foraging
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Wilderness Survival,The Poetry of Taylor Swift,Doughnuts around the world,Shark Tank,"Grilling, Games, & Grins",Board Games,Floral Design with Foraging
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Wilderness Survival,Ultimate Frisbee,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Board Games,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Fishing at the pond,Disc Golf,Introduction to Podcasting,Wilderness Survival,Ultimate Frisbee,"Grilling, Games, & Grins",Teamwork and Collaboration in Video Games,Board Games,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts"
Junior,Amazing Race - Full Day Course,Knitting and Crochet: The Basics,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,"Words, words, words... Word Puzzles and Games",Board Games,Globalization of East Asian Foodways,The Joy of Learning and Knowing Trivial Things,Doughnuts around the world
Junior,Backyard Birdles,Physics and Contemporary Issues,Beautiful Morning Hikes,The Poetry of Taylor Swift,Wilderness Survival,Doughnuts around the world,Introduction to Dog Training,Mending and Hiking,Women in Sports,"Fly Fishing for Life - all are welcome, from beginners to experts"
Freshman,Beautiful Morning Hikes,Beautiful Storage,Play Like a Kid,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Introduction to Dog Training,"Grilling, Games, & Grins"
Freshman,Beautiful Morning Hikes,Beautiful Storage,Play Like a Kid,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Introduction to Dog Training,"Grilling, Games, & Grins"
Freshman,Beautiful Morning Hikes,Beautiful Storage,Play Like a Kid,Fishing at the pond,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Floral Design with Foraging,Introduction to Dog Training,"Grilling, Games, & Grins"
Sophomore,Play Like a Kid,Wilderness Survival,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,"Fly Fishing for Life - all are welcome, from beginners to experts","Grilling, Games, & Grins",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Shark Tank
Junior,Amazing Race - Full Day Course,Play Like a Kid,Farming to Benefit the Community,Fishing at the pond,Beautiful Morning Hikes,"Grilling, Games, & Grins",Doughnuts around the world,Mending and Hiking,"Fly Fishing for Life - all are welcome, from beginners to experts",Globalization of East Asian Foodways
Sophomore,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Play Like a Kid,Wilderness Survival,Beautiful Morning Hikes,Globalization of East Asian Foodways,"Grilling, Games, & Grins",Mending and Hiking,Shark Tank,Floral Design with Foraging
Sophomore,Wilderness Survival,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Ultimate Frisbee,Introduction to Podcasting,"Grilling, Games, & Grins",Board Games,Doughnuts around the world,Shark Tank,Songwriters' Seminar
Sophomore,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Amazing Race - Full Day Course,College Tours - Full Day Course,"Grilling, Games, & Grins","Fly Fishing for Life - all are welcome, from beginners to experts",Doughnuts around the world,Beads and Baubles: The Art of Jewelry Making,Shark Tank
Freshman,Amazing Race - Full Day Course,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,Introduction to Podcasting,Doughnuts around the world,Shark Tank,Introduction to Dog Training,Mending and Hiking,"Grilling, Games, & Grins"
Sophomore,Fishing at the pond,Introduction to Podcasting,Farming to Benefit the Community,Wilderness Survival,Beautiful Morning Hikes,Doughnuts around the world,Introduction to Dog Training,Songwriters' Seminar,Beads and Baubles: The Art of Jewelry Making,The Show Must Go On
Sophomore,Beautiful Morning Hikes,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Music Camp,Myths and Mirth,Wilderness Survival,Creating Outside the Box,Doughnuts around the world,"Grilling, Games, & Grins",Introduction to Dog Training,Shark Tank
Sophomore,Music Camp,Web Design and Development,College Tours - Full Day Course,Introduction to Podcasting,Civil Rights Tour of Greater Boston - Full Day Course,Doughnuts around the world,Teamwork and Collaboration in Video Games,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games
Sophomore,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,College Tours - Full Day Course,College Tours - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Doughnuts around the world,Doughnuts around the world,"Grilling, Games, & Grins",Doughnuts around the world,"Grilling, Games, & Grins"
Junior,Fishing at the pond,Ultimate Frisbee,Farming to Benefit the Community,Disc Golf,Wilderness Survival,"Grilling, Games, & Grins",Doughnuts around the world,Mending and Hiking,Board Games,"Fly Fishing for Life - all are welcome, from beginners to experts"
Sophomore,Play Like a Kid,Wilderness Survival,Backyard Birdles,Physics and Contemporary Issues,Beautiful Morning Hikes,Board Games,The Joy of Learning and Knowing Trivial Things,The Show Must Go On,Introduction to Dog Training,Songwriters' Seminar
Junior,Amazing Race - Full Day Course,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Beautiful Morning Hikes,Play Like a Kid,Jane Austen Book Club,Songwriters' Seminar,Floral Design with Foraging,Beads and Baubles: The Art of Jewelry Making,History Book Club: Women and the 1930s,Board Games
Sophomore,Play Like a Kid,Beyond Newbury Street: Neighborhoods of Boston - Full Day Course,Wilderness Survival,Amazing Race - Full Day Course,College Tours - Full Day Course,"Grilling, Games, & Grins",Doughnuts around the world,Shark Tank,"Fly Fishing for Life - all are welcome, from beginners to experts",Beads and Baubles: The Art of Jewelry Making
Sophomore,Ultimate Frisbee,Music Camp,Disc Golf,Amazing Race - Full Day Course,Lifeguarding - Full Day Course,"Grilling, Games, & Grins",Shark Tank,Teamwork and Collaboration in Video Games,Doughnuts around the world,Running Club
